Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-12-28,2023-12-28,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,40.00
2023-12-27,2023-12-28,2200,PLAYSTATION NETWORK,Internet,19.11,
2023-12-20,2023-12-20,2200,GOOGLE *YouTube Videos,Entertainment,24.99,
2023-12-17,2023-12-18,2200,Spotify USA,Phone/Cable,10.99,
2023-12-14,2023-12-15,2200,Disney Plus,Phone/Cable,24.99,
2023-12-08,2023-12-08,2200,APPLE.COM/BILL,Entertainment,2.99,
2023-12-07,2023-12-07,2200,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,38.97
2023-11-17,2023-11-18,2200,Spotify USA,Phone/Cable,10.99,
2023-11-14,2023-11-15,2200,MCDONALD'S F1473,Dining,12.97,
2023-11-14,2023-11-15,2200,Disney Plus,Phone/Cable,24.99,
2023-11-07,2023-11-08,2200,APPLE.COM/BILL,Entertainment,2.99,
2023-11-07,2023-11-07,2200,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,45.56
2023-10-17,2023-10-18,2200,Spotify USA,Phone/Cable,10.99,
2023-10-14,2023-10-16,2200,Disney Plus,Phone/Cable,24.99,
2023-10-07,2023-10-07,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,75.00
2023-10-07,2023-10-07,2200,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,21.98
2023-10-06,2023-10-07,2200,WHOLEFDS WOB 10233,Merchandise,36.09,
2023-10-05,2023-10-06,2200,WHOLEFDS WOB 10233,Merchandise,26.55,
2023-10-06,2023-10-06,2200,APPLE.COM/BILL,Entertainment,2.99,
2023-10-04,2023-10-04,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,40.00
2023-10-02,2023-10-03,2200,CVS/PHARMACY #00155,Health Care,3.29,
2023-10-01,2023-10-03,2200,APPLESEED CREPE & BREA,Dining,27.66,
2023-10-01,2023-10-02,2200,BOX LUNCH #4733,Merchandise,33.00,
2023-09-17,2023-09-18,2200,Spotify USA,Phone/Cable,10.99,
2023-09-14,2023-09-15,2200,Disney Plus,Phone/Cable,19.99,
2023-09-06,2023-09-06,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2.99
2023-09-06,2023-09-06,2200,APPLE.COM/BILL,Entertainment,2.99,
2023-08-17,2023-08-18,2200,Spotify USA,Phone/Cable,9.99,
2023-08-14,2023-08-15,2200,Disney Plus,Phone/Cable,9.00,
2023-08-07,2023-08-07,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,58.20
2023-08-06,2023-08-07,2200,APPLE.COM/BILL,Entertainment,2.99,
2023-08-03,2023-08-04,2200,MAGGIES OTHER FARM BI,Dining,84.53,
2023-07-17,2023-07-18,2200,Spotify USA,Phone/Cable,9.99,
2023-07-14,2023-07-15,2200,Disney Plus,Phone/Cable,19.99,
2023-07-07,2023-07-07,2200,APPLE.COM/BILL,Entertainment,2.40,
2023-06-29,2023-06-29,2200,Disney Plus,Phone/Cable,4.99,
2023-06-24,2023-06-26,2200,APPLE.COM/BILL,Merchandise,0.99,
2023-06-24,2023-06-26,2200,YARD HOUSE 83800083816,Dining,115.33,
2023-06-21,2023-06-22,2200,REFUNDED SECURITY DEPOSIT,Payment/Credit,,200.00
2023-06-17,2023-06-19,2200,Spotify USA,Phone/Cable,9.99,
2023-06-14,2023-06-15,2200,Disney Plus,Phone/Cable,9.99,
2023-06-06,2023-06-06,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,37.92
2023-05-29,2023-05-30,2200,CHEGG  ORDER,Merchandise,16.95,
2023-05-24,2023-05-24,2200,APPLE.COM/BILL,Entertainment,0.99,
2023-05-17,2023-05-18,2200,Spotify USA,Phone/Cable,9.99,
2023-05-14,2023-05-15,2200,Disney Plus,Phone/Cable,9.99,
2023-05-06,2023-05-06,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,37.92
2023-04-29,2023-05-01,2200,CHEGG  ORDER,Merchandise,16.95,
2023-04-24,2023-04-24,2200,APPLE.COM/BILL,Entertainment,0.99,
2023-04-17,2023-04-18,2200,Spotify USA,Phone/Cable,9.99,
2023-04-10,2023-04-10,2200,APPLE.COM/BILL,Entertainment,9.99,
2023-04-06,2023-04-06,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,59.52
2023-03-29,2023-03-30,2200,CHEGG  ORDER,Merchandise,16.95,
2023-03-24,2023-03-25,2200,APPLE.COM/BILL,Merchandise,7.43,
2023-03-24,2023-03-24,2200,APPLE.COM/BILL,Entertainment,0.99,
2023-03-17,2023-03-18,2200,Spotify USA,Phone/Cable,9.99,
2023-03-15,2023-03-16,2200,Disney Plus,Phone/Cable,10.99,
2023-03-15,2023-03-16,2200,APPLE.COM/BILL,Entertainment,13.17,
2023-03-07,2023-03-07,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,16.95
2023-02-28,2023-03-01,2200,CHEGG  ORDER,Merchandise,16.95,
2023-02-27,2023-02-27,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,31.96
2023-02-24,2023-02-24,2200,APPLE.COM/BILL,Entertainment,0.99,
2023-02-20,2023-02-20,2200,APPLE.COM/BILL,Entertainment,9.99,
2023-02-17,2023-02-18,2200,Spotify USA,Phone/Cable,9.99,
2023-02-15,2023-02-16,2200,Disney Plus,Phone/Cable,10.99,
2023-02-07,2023-02-07,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,10.60
2023-02-06,2023-02-06,2200,APPLE.COM/BILL,Entertainment,10.60,
2023-02-03,2023-02-03,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,16.95
2023-01-30,2023-01-30,2200,CHEGG  ORDER,Merchandise,16.95,
2023-01-27,2023-01-27,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,31.96
2023-01-24,2023-01-24,2200,APPLE.COM/BILL,Entertainment,0.99,
2023-01-20,2023-01-20,2200,APPLE.COM/BILL,Entertainment,9.99,
2023-01-17,2023-01-18,2200,Spotify USA,Phone/Cable,9.99,
2023-01-15,2023-01-16,2200,Disney Plus,Phone/Cable,10.99,
2023-01-07,2023-01-07,2200,CAPITAL ONE MOBILE PYMT,Payment/Credit,,9.23
2023-01-05,2023-01-06,2200,APPLE.COM/BILL,Entertainment,2.11,

